02/15/20,23:54,26.8*C,78.3%,76614.0Pa
02/16/20,08:40,22.1*C,68.6%,76592.0Pa
02/16/20,08:42,23.1*C,67.3%,76586.0Pa
02/16/20,08:46,23.1*C,65.0%,76581.0Pa
02/16/20,08:47,23.0*C,64.2%,76582.0Pa
02/16/20,09:54,23.4*C,61.0%,76564.0Pa
02/16/20,10:00,23.4*C,59.9%,76551.0Pa
02/16/20,10:01,23.5*C,60.8%,76552.0Pa
02/16/20,10:02,23.4*C,60.5%,76547.0Pa
02/16/20,10:04,23.5*C,60.1%,76548.0Pa
02/16/20,10:10,23.6*C,59.3%,76544.0Pa
02/16/20,10:11,23.6*C,59.9%,76548.0Pa
02/16/20,10:12,23.6*C,59.3%,76548.0Pa
02/16/20,10:13,23.6*C,59.6%,76547.0Pa
02/16/20,10:14,23.5*C,59.9%,76547.0Pa
02/16/20,10:15,23.6*C,59.7%,76546.0Pa
02/16/20,10:16,23.5*C,59.5%,76549.0Pa
02/16/20,10:17,23.5*C,60.1%,76554.0Pa
02/16/20,10:18,23.4*C,60.0%,76557.0Pa
02/16/20,10:21,23.5*C,59.0%,76556.0Pa
02/16/20,10:22,23.5*C,59.0%,76553.0Pa
02/16/20,10:23,23.5*C,58.7%,76556.0Pa
02/16/20,10:24,23.5*C,58.9%,76547.0Pa
02/16/20,10:25,23.6*C,59.0%,76548.0Pa
02/16/20,10:26,23.6*C,58.8%,76542.0Pa
02/16/20,10:27,23.6*C,58.9%,76539.0Pa
02/16/20,10:28,23.6*C,58.5%,76540.0Pa
02/16/20,10:29,23.5*C,58.6%,76544.0Pa
02/16/20,10:30,23.6*C,59.1%,76545.0Pa
02/16/20,10:31,23.6*C,58.7%,76548.0Pa
02/16/20,13:07,23.7*C,56.5%,76330.0Pa
